orderitem_id,order_id,product_id,quantity,supplier_id,subtotal,discount
1,1,109,6,39,9.60,0.00
2,1,281,8,25,1238.64,0.00
3,1,358,8,27,5503.52,0.00
4,1,74,10,43,530.60,0.00
5,1,481,6,12,1069.20,0.00
6,2,67,5,2,1773.50,0.00
7,2,99,3,40,1808.76,0.00
8,3,194,9,11,2814.12,0.00
9,3,109,4,29,6.40,0.00
10,3,474,9,27,1142.73,0.00
11,3,76,5,4,4000.60,0.00
12,4,487,8,15,2297.28,0.00
13,4,270,1,8,162.68,0.00
14,4,405,3,24,938.97,0.00
15,4,82,7,42,4895.38,0.00
16,4,358,5,5,3439.70,0.00
17,4,354,7,15,3717.63,0.00
18,4,47,5,45,2852.35,0.00
19,4,293,2,13,1417.40,0.00
20,4,288,4,17,3941.36,0.00
21,4,252,8,28,5707.92,0.00
22,5,324,8,43,5560.88,0.19
23,5,428,1,30,867.33,0.23
24,5,173,2,38,324.66,0.09
25,5,3,2,30,433.18,0.11
26,5,368,6,39,2864.46,0.22
27,5,252,6,45,4280.94,0.07
28,5,269,1,35,801.29,0.21
29,5,39,1,49,279.77,0.12
30,5,2,2,10,119.88,0.11
31,5,498,5,29,87.50,0.11
32,6,422,5,39,4289.85,0.00
33,6,376,7,15,5463.50,0.00
34,6,380,1,42,350.15,0.00
35,6,429,6,29,3958.44,0.00
36,6,146,7,33,5566.75,0.00
37,6,98,5,40,2290.65,0.00
38,6,450,9,8,6822.72,0.00
39,6,468,10,46,8162.70,0.00
40,6,111,9,31,5048.82,0.00
41,6,323,4,2,3046.92,0.00
42,7,176,4,50,1895.76,0.08
43,7,56,7,20,5959.10,0.07
44,7,483,4,38,1828.48,0.24
45,7,39,2,50,559.54,0.21
46,8,220,5,4,3825.35,0.00
47,8,381,8,4,2504.48,0.00
48,8,428,4,30,3469.32,0.00
49,8,344,3,42,2605.98,0.00
50,9,406,1,45,777.00,0.00
51,9,3,8,5,1732.72,0.00
52,9,332,8,21,4372.24,0.00
53,9,126,8,44,6874.88,0.00
54,9,209,10,25,7302.60,0.00
55,10,277,9,21,8543.97,0.00
56,10,114,1,15,427.86,0.00
57,11,479,2,35,1125.82,0.00
58,11,309,5,43,4018.05,0.00
59,11,417,4,8,1462.84,0.00
60,11,310,9,14,8340.30,0.00
61,12,326,9,46,716.40,0.21
62,12,491,7,17,54.60,0.17
63,12,433,2,3,265.30,0.17
64,12,261,1,9,393.64,0.17
65,12,289,7,35,2123.52,0.21
66,13,30,8,17,7249.04,0.20
67,13,311,2,24,550.76,0.17
68,13,448,9,22,5301.18,0.25
69,14,25,6,45,1692.66,0.00
70,14,306,1,46,404.90,0.00
71,14,138,2,35,1651.90,0.00
72,14,107,7,22,2988.93,0.00
73,14,300,8,27,3986.64,0.00
74,14,480,3,6,1226.91,0.00
75,14,187,4,33,2440.04,0.00
76,14,50,8,37,150.24,0.00
77,14,220,9,45,6885.63,0.00
78,14,255,1,38,719.39,0.00
79,15,355,10,34,4589.30,0.00
80,16,371,5,20,3330.25,0.00
81,17,236,9,39,4435.56,0.00
82,18,232,3,13,30.15,0.00
83,18,302,6,25,5295.18,0.00
84,19,131,10,13,6921.90,0.00
85,19,462,10,22,1055.40,0.00
86,19,6,5,4,3682.55,0.00
87,19,146,5,30,3976.25,0.00
88,20,77,9,23,1513.71,0.14
89,20,308,3,14,947.94,0.21
90,20,52,9,7,1875.60,0.18
91,21,457,5,4,1687.15,0.23
92,21,13,1,24,528.03,0.05
93,21,405,4,19,1251.96,0.06
94,21,397,9,27,8435.70,0.15
95,21,370,3,32,2142.27,0.06
96,21,134,5,39,1224.70,0.15
97,22,121,1,29,764.39,0.00
98,22,422,5,25,4289.85,0.00
99,22,54,8,27,5952.80,0.00
100,22,398,3,14,1078.77,0.00
101,22,411,10,40,9912.10,0.00
